* Measurement data measured by REW V5.31.2
* Source: EXCL: Analogue 1 + 2 (Focusrite USB Audio), LINE_IN (Master Volume), L, volume: 1.000
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 30, 2024 5:55:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: sub raw onax
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
192.626953	63.117	-131.9609
192.993164	62.719	-126.4738
193.359375	62.434	-121.0711
193.725586	62.298	-115.2092
194.091797	62.324	-108.9774
194.458008	62.451	-102.9140
194.824219	62.580	-97.4139
195.190430	62.665	-92.4706
195.556641	62.742	-87.8849
195.922852	62.880	-83.5941
196.289062	63.104	-79.8005
196.655273	63.372	-76.8065
197.021484	63.607	-74.7689
197.387695	63.760	-73.5886
197.753906	63.835	-72.9189
198.120117	63.869	-72.2154
198.486328	63.907	-70.8879
198.852539	63.983	-68.5696
199.218750	64.135	-65.3936
199.584961	64.392	-62.0527
199.951172	64.739	-59.4670
200.317383	65.116	-58.2050
200.683594	65.428	-58.1389
201.049805	65.598	-58.5893
201.416016	65.606	-58.7447
201.782227	65.512	-58.0870
202.148438	65.447	-56.6974
202.514648	65.525	-55.2285
202.880859	65.749	-54.3326
203.247070	66.001	-54.0150
203.613281	66.137	-53.6384
203.979492	66.094	-52.4376
204.345703	65.941	-50.0782
204.711914	65.851	-47.0693
205.078125	65.960	-44.6309
205.444336	66.248	-43.7209
205.810547	66.579	-44.2299
206.176758	66.803	-45.2735
206.542969	66.842	-45.9493
206.909180	66.720	-45.8052
207.275391	66.540	-44.9525
207.641602	66.415	-43.8888
208.007812	66.387	-43.0652
208.374023	66.421	-42.5334
208.740234	66.451	-42.0275
209.106445	66.446	-41.3271
209.472656	66.419	-40.4974
209.838867	66.407	-39.8257
210.205078	66.432	-39.5364
210.571289	66.486	-39.5612
210.937500	66.547	-39.5822
211.303711	66.597	-39.2788
211.669922	66.640	-38.5361
212.036133	66.684	-37.4719
212.402344	66.728	-36.3027
212.768555	66.753	-35.1890
213.134766	66.738	-34.1876
213.500977	66.675	-33.3105
213.867188	66.579	-32.5888
214.233398	66.479	-32.0682
214.599609	66.401	-31.7559
214.965820	66.353	-31.5918
215.332031	66.318	-31.4792
215.698242	66.271	-31.3239
216.064453	66.191	-31.0091
216.430664	66.082	-30.3441
216.796875	65.976	-29.0905
217.163086	65.921	-27.1549
217.529297	65.949	-24.8287
217.895508	66.040	-22.7861
218.261719	66.124	-21.7109
218.627930	66.128	-21.8408
218.994141	66.029	-22.7684
219.360352	65.867	-23.5705
219.726562	65.720	-23.2972
220.092773	65.662	-21.6525
220.458984	65.702	-19.3156
220.825195	65.755	-17.3668
221.191406	65.698	-16.3359
221.557617	65.485	-15.7703
221.923828	65.203	-14.5022
222.290039	65.050	-11.5385
222.656250	65.208	-7.2613
223.022461	65.644	-3.4523
223.388672	66.103	-1.5962
223.754883	66.350	-1.8053
224.121094	66.344	-3.1293
224.487305	66.223	-4.1344
224.853516	66.209	-3.6469
225.219727	66.437	-1.6931
225.585938	66.814	0.5204
225.952148	67.076	1.8901
226.318359	67.002	2.2330
226.684570	66.568	2.0994
227.050781	65.992	2.3292
227.416992	65.655	3.4558
227.783203	65.838	5.0596
228.149414	66.453	6.1683
228.515625	67.152	6.4127
228.881836	67.645	6.1493
229.248047	67.844	5.8809
229.614258	67.831	5.8721
229.980469	67.764	6.0461
230.346680	67.763	6.1415
230.712891	67.852	6.0499
231.079102	67.991	5.9618
231.445312	68.146	6.1597
231.811523	68.313	6.7032
232.177734	68.489	7.3489
232.543945	68.632	7.7800
232.910156	68.677	7.9047
233.276367	68.585	7.9189
233.642578	68.392	8.1183
234.008789	68.199	8.6302
234.375000	68.107	9.2806
234.741211	68.146	9.7582
235.107422	68.259	9.9363
235.473633	68.379	9.9587
235.839844	68.500	10.0270
236.206055	68.671	10.1594
236.572266	68.941	10.1725
236.938477	69.277	9.9014
237.304688	69.574	9.3988
237.670898	69.724	8.8813
238.037109	69.687	8.5386
238.403320	69.517	8.3986
238.769531	69.324	8.3482
239.135742	69.197	8.3125
239.501953	69.146	8.4424
239.868164	69.120	9.0610
240.234375	69.073	10.3655
240.600586	69.027	12.1335
240.966797	69.050	13.6996
241.333008	69.192	14.3549
241.699219	69.433	13.9177
242.065430	69.704	12.8566
242.431641	69.915	11.8515
242.797852	70.016	11.2855
243.164062	70.016	11.0472
243.530273	69.962	10.6830
243.896484	69.903	9.7878
244.262695	69.858	8.3857
244.628906	69.818	6.9853
244.995117	69.763	6.2494
245.361328	69.690	6.5505
245.727539	69.635	7.7036
246.093750	69.643	9.0263
246.459961	69.731	9.7460
246.826172	69.872	9.4899
247.192383	70.016	8.4604
247.558594	70.120	7.2039
247.924805	70.164	6.2329
248.291016	70.169	5.7589
248.657227	70.180	5.6293
249.023438	70.236	5.4692
249.389648	70.332	4.9489
249.755859	70.411	3.9814
250.122070	70.403	2.7112
250.488281	70.268	1.3706
250.854492	70.024	0.1659
251.220703	69.747	-0.7646
251.586914	69.527	-1.3572
251.953125	69.414	-1.6284
252.319336	69.382	-1.6716
252.685547	69.363	-1.6271
253.051758	69.300	-1.6370
253.417969	69.184	-1.7966
253.784180	69.055	-2.1097
254.150391	68.965	-2.4771
254.516602	68.936	-2.7638
254.882812	68.947	-2.9230
255.249023	68.954	-3.0647
255.615234	68.927	-3.4011
255.981445	68.862	-4.1022
256.347656	68.776	-5.1526
256.713867	68.678	-6.3123
257.080078	68.558	-7.2349
257.446289	68.392	-7.6656
257.812500	68.172	-7.5676
258.178711	67.926	-7.1058
258.544922	67.715	-6.5225
258.911133	67.600	-5.9813
259.277344	67.600	-5.4916
259.643555	67.674	-4.9905
260.009766	67.748	-4.5083
260.375977	67.758	-4.2415
260.742188	67.690	-4.4614
261.108398	67.579	-5.3088
261.474609	67.482	-6.5946
261.840820	67.436	-7.8119
262.207031	67.432	-8.4445
262.573242	67.433	-8.3398
262.939453	67.418	-7.8173
263.305664	67.387	-7.4475
263.671875	67.356	-7.6635
264.038086	67.327	-8.4612
264.404297	67.284	-9.4323
264.770508	67.199	-10.1030
265.136719	67.071	-10.2969
265.502930	66.937	-10.2402
265.869141	66.859	-10.3550
266.235352	66.876	-10.8848
266.601562	66.977	-11.6850
266.967773	67.102	-12.4025
267.333984	67.188	-12.8322
267.700195	67.194	-13.0881
268.066406	67.111	-13.4752
268.432617	66.950	-14.2074
268.798828	66.728	-15.2123
269.165039	66.474	-16.1916
269.531250	66.237	-16.9045
269.897461	66.071	-17.4281
270.263672	66.009	-18.1132
270.629883	66.018	-19.2147
270.996094	66.011	-20.5790
271.362305	65.903	-21.7076
271.728516	65.663	-22.0909
272.094727	65.349	-21.5544
272.460938	65.073	-20.4554
272.827148	64.917	-19.5165
273.193359	64.879	-19.2804
273.559570	64.897	-19.7165
